Dia,Confirmados,Muertos,Recuperados,Activos,Delta_Confirmados,Delta_Recuperados,Delta_Muertos
2020-03-03,1,0,0,1,1,0,0
2020-03-04,1,0,0,1,0,0,0
2020-03-05,1,0,0,1,0,0,0
2020-03-06,2,0,0,2,1,0,0
2020-03-07,8,0,0,8,6,0,0
2020-03-08,12,1,0,11,4,0,1
2020-03-09,12,1,0,11,0,0,0
2020-03-10,17,1,0,16,5,0,0
2020-03-11,19,1,0,18,2,0,0
2020-03-12,19,1,0,18,0,0,0
2020-03-13,31,2,0,29,12,0,1
2020-03-14,34,2,1,31,3,1,0
2020-03-15,45,2,1,42,11,0,0
2020-03-16,56,2,1,53,11,0,0
2020-03-17,68,2,3,63,12,2,0
2020-03-18,79,2,3,74,11,0,0
2020-03-19,97,3,3,91,18,0,1
2020-03-20,128,3,3,122,31,0,0
2020-03-21,158,4,3,151,30,0,1
2020-03-22,266,4,3,259,108,0,0
2020-03-23,301,4,3,294,35,0,0
2020-03-24,387,6,52,329,86,49,2
2020-03-25,387,8,52,327,0,0,2
2020-03-26,502,9,63,430,115,11,1
2020-03-27,589,13,72,504,87,9,4
2020-03-28,690,18,72,600,101,0,5
2020-03-29,745,19,72,654,55,0,1
2020-03-30,820,23,228,569,75,156,4
2020-03-31,1054,27,240,787,234,12,4
2020-04-01,1054,28,248,778,0,8,1
2020-04-02,1133,36,256,841,79,8,8
